city,lon,lat,q1pyes,q2pyes,q3pyes,q4pyes,q5pyes
ABBOT,-69.4523477,45.1861838,0.319480519,0.286096257,0.406914894,0.575197889,0.388888889
ACTON,-70.9277544,43.5233821,0.498498498,0.457943925,0.616512346,0.68591224,0.573085847
ADDISON,-67.7441645,44.6184102,0.411167513,0.366666667,0.486013986,0.673647469,0.444639719
ALBANY,-70.8456252,44.3325657,0.557553957,0.448529412,0.682481752,0.735294118,0.575645756
ALBION,-69.4425423,44.5322902,0.337560976,0.359879032,0.488023952,0.622244489,0.491935484
ALEXANDER,-67.4683278,45.0886862,0.289655172,0.398601399,0.482517483,0.671328671,0.476868327
ALFRED,-70.7161687,43.4764994,0.499425947,0.467300832,0.636894337,0.726846424,0.60094451
ALLAGASH,-69.0417481,47.0833103,0.320895522,0.464,0.48,0.784615385,0.595238095
ALNA,-69.6036567,44.1061869,0.594771242,0.487640449,0.634361233,0.68722467,0.593333333
ALTON,-68.7286452,45.0314546,0.390243902,0.42247191,0.561521253,0.708240535,0.529017857
AMHERST,-68.3640454,44.8323419,0.479166667,0.408450704,0.51048951,0.65034965,0.493055556
AMITY,-67.8493379,45.9305781,0.212121212,0.344086022,0.489361702,0.568421053,0.431578947
ANDOVER,-70.7511813,44.6356166,0.383858268,0.359183673,0.542682927,0.682186235,0.474437628
ANSON,-69.8892408,44.7983618,0.361390668,0.376635514,0.549074074,0.701657459,0.564411492
APPLETON,-69.2508768,44.289243,0.4718398,0.424281984,0.585806452,0.644046095,0.507792208
ARROWSIC,-69.7781014,43.8498037,0.657492355,0.573208723,0.706790123,0.777089783,0.690402477
ARUNDEL,-70.5141622,43.4243008,0.545089286,0.448753463,0.621323529,0.682949309,0.596118299
ASHLAND,-68.3895276,46.6609983,0.342806394,0.463821892,0.501831502,0.750915751,0.641681901
ATHENS,-69.6728296,44.9231142,0.396313364,0.368674699,0.496420048,0.623809524,0.497584541
ATKINSON,-69.0910809,45.1868588,0.307692308,0.251396648,0.344444444,0.558659218,0.331460674
AUBURN,-70.2311655,44.0978509,0.510977337,0.460957408,0.575889615,0.699248801,0.624600785
AUGUSTA,-69.7794897,44.3106241,0.503299204,0.48719143,0.605355064,0.766963357,0.665891112
AURORA,-68.3166626,44.8587319,0.28125,0.285714286,0.532258065,0.53968254,0.333333333
AVON,-70.2711766,44.8061682,0.416666667,0.329059829,0.493617021,0.645299145,0.463519313
BAILEYVILLE,-67.441251,45.1815281,0.360446571,0.462662338,0.493548387,0.745980707,0.607431341
BALDWIN,-70.7781171,43.8331978,0.393401015,0.364351245,0.549350649,0.631578947,0.502604167
BANGOR,-68.7712257,44.8016128,0.581125716,0.528068705,0.587752525,0.761656228,0.688174303
BARING,-67.3116215,45.133367,0.336448598,0.514285714,0.519607843,0.692307692,0.558823529
BATH,-69.8206023,43.9106353,0.616736218,0.548423423,0.673684211,0.753409345,0.716632906
BEALS,-67.615038,44.5198491,0.34057971,0.428015564,0.594594595,0.79389313,0.571428571
BEDDINGTON,-68.0619547,44.8481283,0.289473684,0.473684211,0.5,0.710526316,0.5
BELFAST,-69.0064234,44.4259092,0.601175483,0.552669553,0.642138546,0.676901004,0.675028835
BELGRADE,-69.8321003,44.4466514,0.470964305,0.451437873,0.590048675,0.71574973,0.571351351
BELMONT,-69.111907,44.3776275,0.46090535,0.43220339,0.55,0.669438669,0.56512605
BENTON,-69.5508778,44.586177,0.37150838,0.393982808,0.543121882,0.692198582,0.560801144
BERWICK,-70.8635506,43.2683199,0.521052632,0.485664639,0.648462202,0.741230592,0.643166715
BETHEL,-70.7898806,44.4044586,0.570663094,0.513623978,0.655870445,0.757229321,0.623139378
BIDDEFORD,-70.4533844,43.4925843,0.566235111,0.488456996,0.587201201,0.702457265,0.680871619
BINGHAM,-69.8823059,45.0586793,0.366013072,0.397260274,0.5625,0.710467706,0.617977528
BLAINE,-67.8686274,46.5047594,0.229916898,0.358823529,0.429411765,0.66374269,0.535294118
BOOTHBAY,-69.6337364,43.8762865,0.555167249,0.532924962,0.647237709,0.738998483,0.632008155
BOWDOIN,-69.9696243,44.0495825,0.39839407,0.4032974,0.55185418,0.630188679,0.505063291
BOWDOINHAM,-69.8968927,44.0091821,0.577854671,0.491505565,0.645857643,0.72063121,0.622144112
BOWERBANK,-69.2547818,45.3156873,0.321428571,0.333333333,0.452380952,0.564705882,0.352941176
BRADFORD,-68.9366104,45.0671376,0.331658291,0.383820998,0.572164948,0.672413793,0.505136986
BRADLEY,-68.6276101,44.9167519,0.456050955,0.458498024,0.552042161,0.721932115,0.600525624
BREMEN,-69.4026747,43.992866,0.495967742,0.483333333,0.637113402,0.742857143,0.615062762
BREWER,-68.7614246,44.7967378,0.489771833,0.451325643,0.528014616,0.710950081,0.634260199
BRIDGEWATER,-67.8433564,46.427822,0.269896194,0.390070922,0.478873239,0.691489362,0.505338078
BRIDGTON,-70.7128684,44.0548021,0.511991279,0.482823002,0.623415362,0.725388601,0.614925373
BRIGHTON,-69.6947755,45.0453339,0.266666667,0.292682927,0.585365854,0.634146341,0.5
BRISTOL,-69.4954131,43.9248053,0.55959709,0.569133678,0.680225989,0.75,0.612700229
BROOKLIN,-68.5691898,44.2661906,0.629824561,0.531418312,0.680926916,0.748214286,0.644524237
BROOKS,-69.120873,44.5503501,0.450191571,0.374753452,0.467455621,0.564705882,0.483234714
BROOKSVILLE,-68.6847872,44.3469906,0.652841782,0.5152,0.630744849,0.679304897,0.679304897
BROWNFIELD,-70.9086768,43.9381275,0.531755915,0.428015564,0.658097686,0.713917526,0.558558559
BROWNVILLE,-69.03339,45.3070685,0.366619116,0.348529412,0.531884058,0.693083573,0.561863173
BRUNSWICK,-69.966996,43.9140162,0.673376184,0.602628285,0.695068057,0.792706674,0.738675958
BUCKFIELD,-70.3653359,44.2895134,0.396226415,0.31154239,0.488798371,0.582828283,0.449186992
BUCKSPORT,-68.7701224,44.6289696,0.510446538,0.453781513,0.544847726,0.6975,0.586666667
BURLINGTON,-68.4266875,45.2092264,0.320441989,0.356321839,0.435028249,0.632768362,0.438202247
BURNHAM,-69.4292308,44.6927723,0.380872483,0.320689655,0.482817869,0.691252144,0.546551724
BUXTON,-70.5189422,43.6378583,0.490154211,0.434446057,0.6136637,0.681334623,0.569264069
BYRON,-70.6306241,44.7220034,0.3625,0.417721519,0.5875,0.65,0.5625
CALAIS,-67.2786038,45.1889633,0.454545455,0.499295775,0.533286615,0.756588072,0.647798742
CAMBRIDGE,-69.4739368,45.0242231,0.267657993,0.294339623,0.443609023,0.594795539,0.473880597
CAMDEN,-69.0647838,44.2097928,0.697265011,0.669004676,0.753509631,0.799274885,0.763600396
CANAAN,-69.5614376,44.7617295,0.414,0.380020597,0.544252289,0.682604273,0.549948507
CANTON,-69.4454689,45.253783,0.357438017,0.361290323,0.530398323,0.625792812,0.528541226
CARATUNK,-69.9903474,45.2335733,0.36,0.416666667,0.666666667,0.645833333,0.458333333
CARMEL,-69.0511537,44.7975688,0.359972678,0.365819209,0.497540408,0.664565826,0.501410437
CARROLL,-68.0366118,45.4144799,0.154761905,0.231707317,0.493975904,0.56626506,0.34939759
CARTHAGE,-70.4734195,44.6240737,0.338645418,0.334693878,0.601626016,0.634146341,0.479508197
CARY,-67.8619616,45.995333,0.160714286,0.302752294,0.387387387,0.5625,0.440366972
CASCO,-70.5211945,43.969246,0.502057613,0.44,0.628125,0.687958115,0.551814834
CASTINE,-68.7989582,44.3888609,0.663244353,0.733333333,0.7125,0.810810811,0.756813417
CASWELL,-67.8644525,46.9811169,0.328467153,0.477941176,0.525925926,0.826086957,0.676258993
