,city,population,lon,lat,q1yes,q1no,q1blank,q1pyes,q2yes,q2no,q2blank,q2pyes,q3yes,q3no,q3blank,q3pyes,q4yes,q4no,q4blank,q4pyes,q5yes,q5no,q5blank,q5pyes
1,ABBOT,677,-69.4523477,45.1861838,43,75,0,0.36440678,39,79,0,0.330508475,55,63,0,0.466101695,33,85,0,0.279661017,59,59,0,0.5
2,ACTON,2621,-70.9277544,43.5233821,162,109,3,0.597785978,177,94,3,0.653136531,199,74,1,0.728937729,150,119,5,0.557620818,190,82,2,0.698529412
3,ADDISON,1254,-67.7441645,44.6184102,70,90,1,0.4375,59,102,0,0.366459627,91,70,0,0.565217391,50,110,1,0.3125,76,85,0,0.472049689
4,ALBANY,515,-70.8456252,44.3325657,43,40,1,0.518072289,45,39,0,0.535714286,49,34,1,0.590361446,39,45,0,0.464285714,48,36,0,0.571428571
5,ALBION,2094,-69.4425423,44.5322902,127,161,1,0.440972222,120,169,0,0.415224913,146,142,1,0.506944444,102,187,0,0.352941176,133,156,0,0.460207612
6,ALEXANDER,480,-67.4683278,45.0886862,44,38,1,0.536585366,35,48,0,0.421686747,52,29,2,0.641975309,27,56,0,0.325301205,42,40,1,0.512195122
7,ALFRED,3163,-70.7161687,43.4764994,272,153,5,0.64,255,172,3,0.597189696,304,123,3,0.711943794,230,197,3,0.538641686,284,145,1,0.662004662
8,ALLAGASH,217,-69.0417481,47.0833103,27,12,0,0.692307692,27,12,0,0.692307692,31,8,0,0.794871795,21,18,0,0.538461538,28,11,0,0.717948718
9,ALNA,734,-69.6036567,44.1061869,82,67,1,0.55033557,100,50,0,0.666666667,111,38,1,0.744966443,87,62,1,0.583892617,107,43,0,0.713333333
10,ALTON,858,-68.7286452,45.0314546,65,42,0,0.607476636,50,57,0,0.46728972,72,35,0,0.672897196,44,63,0,0.411214953,63,44,0,0.588785047
11,AMHERST,257,-68.3640454,44.8323419,31,27,0,0.534482759,28,29,1,0.49122807,39,19,0,0.672413793,27,31,0,0.465517241,32,26,0,0.551724138
12,AMITY,217,-67.8493379,45.9305781,14,12,0,0.538461538,11,15,0,0.423076923,19,7,0,0.730769231,10,15,1,0.4,13,13,0,0.5
13,ANDOVER,831,-70.7511813,44.6356166,65,78,3,0.454545455,68,76,2,0.472222222,92,53,1,0.634482759,61,84,1,0.420689655,73,72,1,0.503448276
14,ANSON,2384,-69.8892408,44.7983618,147,129,2,0.532608696,135,143,0,0.485611511,168,110,0,0.604316547,104,173,1,0.375451264,147,131,0,0.528776978
15,APPLETON,1368,-69.2508768,44.289243,128,97,3,0.568888889,128,96,4,0.571428571,166,60,2,0.734513274,131,96,1,0.577092511,138,87,3,0.613333333
