,city,population,lon,lat,q1yes,q1no,q1blank,q1pyes,q2yes,q2no,q2blank,q2pyes,q3yes,q3no,q3blank,q3pyes,q4yes,q4no,q4blank,q4pyes,q5yes,q5no,q5blank,q5pyes,q6yes,q6no,q6blank,q6pyes,q7yes,q7no,q7blank,q7pyes
1,ABBOT,677,-69.4523477,45.1861838,73,268,7,0.214076246,157,173,18,0.475757576,177,154,17,0.534743202,167,159,22,0.512269939,106,218,24,0.327160494,162,166,20,0.493902439,141,185,22,0.432515337
2,ACTON,2621,-70.9277544,43.5233821,508,602,15,0.457657658,592,484,49,0.550185874,607,459,59,0.569418386,613,455,57,0.573970037,450,605,70,0.426540284,648,425,52,0.603914259,572,493,60,0.537089202
3,ADDISON,1254,-67.7441645,44.6184102,199,347,11,0.364468864,258,249,50,0.50887574,279,234,44,0.543859649,300,217,40,0.580270793,223,285,49,0.438976378,252,261,44,0.49122807,299,212,46,0.585127202
4,ALBANY,515,-70.8456252,44.3325657,93,150,1,0.382716049,143,94,7,0.603375527,134,104,6,0.56302521,124,115,5,0.518828452,100,135,9,0.425531915,158,80,6,0.663865546,127,108,9,0.540425532
5,ALBION,2094,-69.4425423,44.5322902,233,709,11,0.247346072,531,383,39,0.580962801,492,415,46,0.54244763,489,413,51,0.542128603,366,532,55,0.407572383,483,424,46,0.532524807,447,458,48,0.493922652
6,ALEXANDER,480,-67.4683278,45.0886862,70,189,4,0.27027027,128,122,13,0.512,142,107,14,0.570281124,129,118,16,0.522267206,89,158,16,0.360323887,125,126,12,0.498007968,136,112,15,0.548387097
7,ALFRED,3163,-70.7161687,43.4764994,741,761,55,0.49334221,895,551,111,0.618948824,909,535,113,0.629501385,881,555,121,0.613509749,673,758,126,0.470300489,957,483,117,0.664583333,840,593,124,0.586182833
8,ALLAGASH,217,-69.0417481,47.0833103,41,111,4,0.269736842,84,53,19,0.613138686,104,35,17,0.748201439,94,44,18,0.68115942,76,57,23,0.571428571,101,37,18,0.731884058,84,51,21,0.622222222
9,ALNA,734,-69.6036567,44.1061869,232,183,4,0.559036145,250,154,15,0.618811881,223,170,26,0.567430025,218,174,27,0.556122449,190,197,32,0.490956072,253,150,16,0.627791563,229,161,29,0.587179487
10,ALTON,858,-68.7286452,45.0314546,102,268,5,0.275675676,208,152,15,0.577777778,209,148,18,0.585434174,208,148,19,0.584269663,161,195,19,0.452247191,209,148,18,0.585434174,179,178,18,0.50140056
11,AMHERST,257,-68.3640454,44.8323419,52,86,1,0.376811594,61,75,3,0.448529412,71,65,3,0.522058824,79,57,3,0.580882353,62,73,4,0.459259259,67,67,5,0.5,64,69,6,0.481203008
12,AMITY,217,-67.8493379,45.9305781,25,71,1,0.260416667,42,50,5,0.456521739,50,43,4,0.537634409,42,48,7,0.466666667,29,60,8,0.325842697,48,43,6,0.527472527,40,52,5,0.434782609
13,ANDOVER,831,-70.7511813,44.6356166,170,276,15,0.381165919,235,196,30,0.545243619,245,187,29,0.56712963,228,203,30,0.52900232,187,238,36,0.44,253,185,23,0.577625571,202,230,29,0.467592593
14,ANSON,2384,-69.8892408,44.7983618,351,641,13,0.353830645,541,423,41,0.56120332,576,383,46,0.600625652,544,419,42,0.56490135,423,537,45,0.440625,584,385,36,0.602683179,503,460,42,0.522326064
15,APPLETON,1368,-69.2508768,44.289243,341,409,5,0.454666667,397,326,32,0.549100968,399,325,31,0.551104972,368,358,29,0.506887052,293,423,39,0.409217877,406,318,31,0.560773481,372,350,33,0.515235457
16,ARROWSIC,461,-69.7781014,43.8498037,176,142,14,0.553459119,219,102,11,0.682242991,201,117,14,0.632075472,201,121,10,0.624223602,188,129,15,0.593059937,231,92,9,0.715170279,219,100,13,0.686520376
17,ARUNDEL,4394,-70.5141622,43.4243008,953,1007,21,0.48622449,1106,797,78,0.581187599,1124,765,92,0.595023822,1174,711,96,0.622811671,891,978,112,0.476725522,1153,735,93,0.610699153,1076,804,101,0.572340426
18,ASHLAND,1217,-68.3895276,46.6609983,149,362,5,0.291585127,285,204,27,0.582822086,306,178,32,0.632231405,303,183,30,0.62345679,232,248,36,0.483333333,316,172,28,0.647540984,241,245,30,0.495884774
19,ATHENS,979,-69.6728296,44.9231142,125,275,8,0.3125,219,169,20,0.56443299,220,165,23,0.571428571,220,165,23,0.571428571,161,220,27,0.422572178,210,176,22,0.544041451,191,197,20,0.492268041
20,ATKINSON,306,-69.0910809,45.1868588,41,124,7,0.248484848,74,81,17,0.477419355,76,77,19,0.496732026,71,82,19,0.464052288,52,102,18,0.337662338,69,84,19,0.450980392,59,95,18,0.383116883
21,AUBURN,23414,-70.2311655,44.0978509,4821,4707,130,0.505982368,5479,3859,320,0.586742343,5557,3754,347,0.596820964,5726,3583,349,0.615103663,4526,4710,422,0.490038978,6081,3270,307,0.65030478,5186,4090,382,0.559077188
22,AUGUSTA,18697,-69.7794897,44.3106241,3522,3972,352,0.469975981,4677,2654,515,0.63797572,4761,2535,550,0.652549342,4981,2352,513,0.679258148,4172,3102,572,0.573549629,5122,2224,500,0.697250204,4638,2662,546,0.635342466
23,AURORA,111,-68.3166626,44.8587319,13,41,3,0.240740741,20,30,7,0.4,25,24,8,0.510204082,24,25,8,0.489795918,15,32,10,0.319148936,22,27,8,0.448979592,18,30,9,0.375
24,AVON,438,-70.2711766,44.8061682,67,156,1,0.30044843,101,118,5,0.461187215,121,96,7,0.557603687,126,93,5,0.575342466,92,123,9,0.427906977,124,95,5,0.566210046,103,113,8,0.476851852
25,BAILEYVILLE,1447,-67.441251,45.1815281,147,400,7,0.268738574,284,245,25,0.536862004,336,198,20,0.629213483,337,196,21,0.632270169,250,280,24,0.471698113,331,201,22,0.622180451,295,240,19,0.551401869
