,city,population,lon,lat,q1yes,q1no,q1blank,q1pyes,q2yes,q2no,q2blank,q2pyes,q3yes,q3no,q3blank,q3pyes,X,X.1
1,ABBOT,677,-69.4523477,45.1861838,43,83,0,0.341269841,67,59,0,0.531746032,75,51,0,0.595238095,NA,
2,ACTON,2621,-70.9277544,43.5233821,154,153,2,0.501628664,212,95,2,0.690553746,209,99,1,0.678571429,NA,
3,ADDISON,1254,-67.7441645,44.6184102,90,122,1,0.424528302,134,79,0,0.629107981,137,76,0,0.643192488,NA,
4,ALBANY,515,-70.8456252,44.3325657,41,31,1,0.569444444,47,26,0,0.643835616,47,26,0,0.643835616,NA,
5,ALBION,2094,-69.4425423,44.5322902,90,126,1,0.416666667,133,82,2,0.618604651,124,93,0,0.571428571,NA,
6,ALEXANDER,480,-67.4683278,45.0886862,26,51,0,0.337662338,47,30,0,0.61038961,45,32,0,0.584415584,NA,
7,ALFRED,3163,-70.7161687,43.4764994,214,198,2,0.519417476,269,142,3,0.654501217,286,126,2,0.694174757,NA,
8,ALLAGASH,217,-69.0417481,47.0833103,21,11,0,0.65625,25,7,0,0.78125,22,10,0,0.6875,NA,
9,ALNA,734,-69.6036567,44.1061869,110,45,1,0.709677419,113,41,2,0.733766234,120,36,0,0.769230769,NA,
10,ALTON,858,-68.7286452,45.0314546,41,81,0,0.336065574,84,38,0,0.68852459,83,39,0,0.680327869,NA,
11,AMHERST,257,-68.3640454,44.8323419,22,43,2,0.338461538,40,27,0,0.597014925,45,22,0,0.671641791,NA,
12,AMITY,217,-67.8493379,45.9305781,8,16,1,0.333333333,16,9,0,0.64,22,3,0,0.88,NA,
13,ANDOVER,831,-70.7511813,44.6356166,69,86,1,0.44516129,87,69,0,0.557692308,89,67,0,0.570512821,NA,
14,ANSON,2384,-69.8892408,44.7983618,174,200,2,0.465240642,252,122,2,0.673796791,240,133,3,0.643431635,NA,
15,APPLETON,1368,-69.2508768,44.289243,149,117,3,0.560150376,173,93,3,0.65037594,175,90,4,0.660377358,NA,
16,ARROWSIC,461,-69.7781014,43.8498037,107,48,1,0.690322581,125,29,2,0.811688312,135,19,2,0.876623377,NA,
17,ARUNDEL,4394,-70.5141622,43.4243008,224,196,0,0.533333333,283,137,0,0.673809524,284,136,0,0.676190476,NA,
18,ASHLAND,1217,-68.3895276,46.6609983,51,52,0,0.495145631,74,28,1,0.725490196,71,31,1,0.696078431,NA,
19,ATHENS,979,-69.6728296,44.9231142,25,66,0,0.274725275,53,38,0,0.582417582,48,43,0,0.527472527,NA,
20,ATKINSON,306,-69.0910809,45.1868588,25,44,0,0.362318841,31,37,1,0.455882353,38,31,0,0.550724638,NA,
21,AUBURN,23414,-70.2311655,44.0978509,2283,1937,72,0.540995261,2808,1422,62,0.663829787,2968,1270,54,0.700330345,NA,
22,AUGUSTA,18697,-69.7794897,44.3106241,1306,931,25,0.583817613,1684,559,19,0.750780205,1800,443,19,0.802496656,NA,
23,AURORA,111,-68.3166626,44.8587319,12,18,0,0.4,15,15,0,0.5,17,13,0,0.566666667,NA,
24,AVON,438,-70.2711766,44.8061682,23,35,1,0.396551724,37,22,0,0.627118644,41,18,0,0.694915254,NA,
25,BAILEYVILLE,1447,-67.441251,45.1815281,81,60,0,0.574468085,103,38,0,0.730496454,98,43,0,0.695035461,NA,a
26,BALDWIN,1622,-70.7781171,43.8331978,74,106,2,0.411111111,106,75,1,0.585635359,119,61,2,0.661111111,NA,
27,BANGOR,32262,-68.7712257,44.8016128,2543,1700,64,0.59934009,3149,1112,46,0.739028397,3294,953,60,0.77560631,NA,
28,BARING,237,-67.3116215,45.133367,12,21,0,0.363636364,22,11,0,0.666666667,24,9,0,0.727272727,NA,
29,BATH,8338,-69.8206023,43.9106353,913,482,10,0.654480287,1060,340,5,0.757142857,1122,276,7,0.802575107,NA,
30,BEALS,498,-67.615038,44.5198491,18,16,0,0.529411765,22,12,0,0.647058824,28,6,0,0.823529412,NA,
31,BEDDINGTON,48,-68.0619547,44.8481283,8,15,0,0.347826087,14,9,0,0.608695652,18,5,0,0.782608696,NA,
32,BELFAST,6679,-69.0064234,44.4259092,1136,548,23,0.674584323,1311,373,23,0.778503563,1320,357,30,0.787119857,NA,
33,BELGRADE,3149,-69.8321003,44.4466514,228,243,3,0.484076433,335,139,0,0.706751055,346,128,0,0.729957806,NA,
34,BELMONT,913,-69.111907,44.3776275,74,74,0,0.5,103,45,0,0.695945946,99,49,0,0.668918919,NA,
35,BENTON,2713,-69.5508778,44.586177,148,192,0,0.435294118,215,123,2,0.636094675,219,118,3,0.649851632,NA,
36,BERWICK,7872,-70.8635506,43.2683199,276,339,3,0.448780488,422,195,1,0.683954619,436,179,3,0.708943089,NA,
37,BETHEL,2738,-70.7898806,44.4044586,238,162,1,0.595,272,128,1,0.68,295,105,1,0.7375,NA,
38,BIDDEFORD,21504,-70.4533844,43.4925843,2223,1724,84,0.563212567,2615,1350,66,0.659520807,2663,1292,76,0.673324905,NA,
39,BINGHAM,900,-69.8823059,45.0586793,51,101,0,0.335526316,93,57,2,0.62,100,51,1,0.662251656,NA,
40,BLAINE,671,-67.8686274,46.5047594,35,39,2,0.472972973,46,29,1,0.613333333,51,25,0,0.671052632,NA,
41,BOOTHBAY,3173,-69.6337364,43.8762865,376,283,2,0.570561457,472,184,5,0.719512195,526,133,2,0.798179059,NA,
42,BOWDOIN,3211,-69.9696243,44.0495825,139,218,1,0.389355742,194,164,0,0.541899441,218,139,1,0.610644258,NA,
43,BOWDOINHAM,3056,-69.8968927,44.0091821,341,230,8,0.597197898,427,149,3,0.741319444,443,133,3,0.769097222,NA,
44,BOWERBANK,112,-69.2547818,45.3156873,8,28,0,0.222222222,16,20,0,0.444444444,16,20,0,0.444444444,NA,
45,BRADFORD,1228,-68.9366104,45.0671376,48,120,0,0.285714286,86,81,1,0.51497006,85,82,1,0.508982036,NA,
46,BRADLEY,1488,-68.6276101,44.9167519,67,122,1,0.354497354,125,63,2,0.664893617,141,45,4,0.758064516,NA,
47,BREMEN,807,-69.4026747,43.992866,108,77,2,0.583783784,131,55,1,0.704301075,140,44,3,0.760869565,NA,
48,BREWER,9035,-68.7614246,44.7967378,818,898,21,0.476689977,1098,617,22,0.640233236,1179,537,21,0.687062937,NA,
49,BRIDGEWATER,562,-67.8433564,46.427822,31,32,2,0.492063492,34,30,1,0.53125,33,30,2,0.523809524,NA,
50,BRIDGTON,5434,-70.7128684,44.0548021,459,543,8,0.458083832,596,402,12,0.597194389,654,351,5,0.650746269,NA,
51,BRIGHTON,67,-69.6947755,45.0453339,7,6,1,0.538461538,10,4,0,0.714285714,9,5,0,0.642857143,NA,
52,BRISTOL,2787,-69.4954131,43.9248053,345,222,2,0.608465608,411,150,8,0.732620321,444,121,4,0.785840708,NA,
