,city,population,lon,lat,q1yes,q1no,q1blank,q1pyes,q2yes,q2no,q2blank,q2pyes,q3yes,q3no,q3blank,q3pyes,q4yes,q4no,q4blank,q4pyes,q5yes,q5no,q5blank,q5pyes,q6yes,q6no,q6blank,q6pyes
1,ABBOT,677,-69.4523477,45.1861838,180,217,11,0.453400504,144,254,10,0.361809045,71,330,7,0.177057357,165,233,10,0.414572864,134,254,20,0.345360825,186,210,12,0.46969697
2,ACTON,2621,-70.9277544,43.5233821,832,651,14,0.561024949,681,795,21,0.461382114,626,861,10,0.420981843,836,638,23,0.567164179,712,731,54,0.493416493,833,616,48,0.574879227
3,ADDISON,1254,-67.7441645,44.6184102,305,367,8,0.453869048,262,408,10,0.391044776,184,490,6,0.272997033,343,332,5,0.508148148,261,400,19,0.394856278,349,315,16,0.52560241
4,ALBANY,515,-70.8456252,44.3325657,182,130,3,0.583333333,161,150,4,0.517684887,98,212,5,0.316129032,169,140,6,0.546925566,145,158,12,0.478547855,187,118,10,0.613114754
5,ALBION,2094,-69.4425423,44.5322902,447,709,19,0.386678201,444,714,17,0.383419689,267,887,21,0.231369151,468,688,19,0.404844291,441,696,38,0.387862797,539,602,34,0.472392638
6,ALEXANDER,480,-67.4683278,45.0886862,122,186,5,0.396103896,123,185,5,0.399350649,69,240,4,0.223300971,141,168,4,0.45631068,113,188,12,0.375415282,142,161,10,0.468646865
7,ALFRED,3163,-70.7161687,43.4764994,880,956,37,0.479302832,922,918,33,0.501086957,886,961,26,0.479696806,1041,795,37,0.566993464,916,889,68,0.507479224,1095,729,49,0.600328947
8,ALLAGASH,217,-69.0417481,47.0833103,60,96,13,0.384615385,95,61,13,0.608974359,61,99,9,0.38125,123,39,7,0.759259259,78,72,19,0.52,97,56,16,0.633986928
9,ALNA,734,-69.6036567,44.1061869,267,211,4,0.558577406,270,204,8,0.569620253,249,228,5,0.522012579,300,177,5,0.628930818,284,184,14,0.606837607,318,155,9,0.67230444
10,ALTON,858,-68.7286452,45.0314546,213,258,2,0.452229299,192,278,3,0.408510638,107,365,1,0.226694915,189,283,1,0.400423729,181,285,7,0.388412017,235,230,8,0.505376344
